seed,previous_pattern,pattern,base_price,Monday AM,Monday PM,Tuesday AM,Tuesday PM,Wednesday AM,Wednesday PM,Thursday AM,Thursday PM,Friday AM,Friday PM,Saturday AM,Saturday PM
54246,0,1,110,99,95,91,86,81,77,73,111,158,313,219,107
73930,3,0,101,79,73,67,111,100,104,78,73,105,114,100,124
12513,2,0,90,96,87,68,61,112,113,102,62,55,47,116,119
12895,3,1,102,91,127,170,438,168,139,59,78,81,59,58,54
76573,0,1,103,89,101,151,380,175,100,72,65,88,60,58,65
44240,3,1,103,89,85,80,106,173,299,200,106,52,90,60,89
20826,1,3,92,61,57,54,51,47,43,39,113,115,134,135,130
88778,0,3,96,72,68,96,127,136,144,143,81,77,73,68,64
33942,1,2,105,94,90,85,81,77,73,68,62,59,54,50,45
83813,1,0,97,112,129,95,118,94,63,59,110,126,74,65,56
92428,3,3,95,61,57,52,48,44,40,87,125,139,143,133,50
79804,1,0,101,120,118,137,115,94,80,73,133,140,66,60,52
31684,1,0,94,88,111,87,94,63,56,48,95,110,73,66,111
49961,1,2,100,86,82,78,74,69,65,62,59,54,50,46,42
13515,0,2,94,82,78,74,71,68,66,62,59,54,51,47,43
45428,1,0,91,71,65,57,124,118,92,113,117,116,85,61,57
54668,2,0,97,108,102,101,70,64,94,97,72,68,64,128,136
88167,0,1,103,93,89,86,137,174,447,168,143,62,57,81,78
72600,1,0,109,85,76,72,115,111,101,83,77,124,142,115,117
34643,1,0,107,125,118,131,142,117,66,59,148,84,74,70,142
95445,3,0,93,128,67,63,118,128,87,91,103,124,69,60,53
59774,3,1,106,96,92,88,84,80,76,72,101,196,397,209,100
18012,0,1,104,92,88,83,80,116,190,468,205,136,48,79,79
34987,0,1,104,91,86,81,76,72,105,190,441,204,120,60,59
76097,2,1,102,92,87,84,79,132,147,210,187,132,72,43,61
51393,2,2,95,84,81,77,74,71,67,63,59,56,52,47,43
85266,1,0,107,66,60,97,117,122,108,83,74,68,99,134,106
35970,1,3,104,66,62,58,54,141,141,182,204,161,66,61,57
76440,0,0,96,128,104,120,111,128,69,62,124,68,63,57,122
20385,0,1,110,96,92,88,84,108,188,516,155,114,61,95,77
46011,3,1,99,86,81,78,75,70,67,63,123,160,266,182,99
21992,0,2,92,79,75,72,68,64,61,58,55,51,48,44,40
39544,1,0,96,68,64,95,121,106,120,75,68,61,132,87,126
14039,1,0,94,106,122,85,96,101,65,60,51,99,68,60,100
73481,0,3,95,61,58,55,128,94,133,163,142,39,35,31,27
58535,2,3,98,49,45,41,38,33,132,98,164,187,178,45,40
84108,2,1,105,92,87,82,78,110,169,444,187,106,43,86,54
76730,1,0,92,102,71,64,119,124,97,93,64,56,50,94,112
98964,1,3,99,66,63,59,127,131,160,195,156,66,62,59,55
91399,2,3,108,67,62,115,144,170,191,168,66,62,57,53,49
92316,0,1,92,79,75,72,68,63,95,180,435,170,104,53,82
87536,1,3,98,65,100,138,148,163,148,86,81,77,72,68,64
79048,0,3,102,71,67,63,60,121,118,189,202,163,80,75,72
88979,3,1,92,79,76,85,131,315,184,125,43,45,43,40,39
35394,3,0,106,103,79,70,132,121,99,139,65,59,50,107,142
36721,3,2,102,88,85,80,77,73,70,65,61,57,53,48,45
7340,0,3,94,79,75,71,68,64,60,56,97,106,145,146,131
81878,0,3,108,63,58,53,49,140,146,151,170,159,70,66,61
67806,0,2,104,91,86,82,78,74,70,66,62,59,55,50,45
67476,1,0,107,150,115,112,128,72,63,137,125,142,71,63,57
67886,0,1,103,89,84,80,138,201,322,182,116,88,44,43,63
30617,3,0,98,125,100,129,64,54,49,101,106,76,71,111,116
53744,2,1,109,94,91,87,83,79,74,69,146,218,644,162,130
30007,3,1,103,90,85,137,148,364,194,136,63,68,55,66,53
79446,3,3,99,85,82,114,118,176,181,169,89,85,82,77,73
83140,0,1,93,80,76,73,92,178,318,181,106,46,41,39,44
54551,0,0,102,123,139,104,96,73,67,61,143,119,107,62,58
8564,1,0,105,120,146,71,62,52,131,98,83,77,141,98,147
20847,2,0,110,108,153,67,59,113,140,124,120,105,87,79,69
15663,0,3,103,90,86,97,99,148,154,145,62,58,54,50,45
30005,1,0,102,107,110,119,114,76,66,58,119,126,136,80,76
29509,1,3,103,107,116,161,182,145,89,85,80,76,71,68,64
25227,3,3,103,91,144,101,192,195,155,71,67,62,59,55,51
34082,1,0,108,126,136,105,149,141,102,78,70,61,106,85,76
36317,1,3,105,78,73,69,101,117,157,169,157,57,53,48,43
57247,0,0,105,114,140,121,125,82,74,68,110,129,66,59,113
84156,2,3,103,76,115,133,173,206,166,56,52,48,44,39,34
77205,2,3,91,119,104,169,173,154,46,42,39,35,32,28,23
22449,1,2,98,88,84,80,75,71,67,63,60,57,54,50,47
34044,3,0,101,65,55,48,101,125,140,110,131,92,104,80,73
98182,0,3,90,77,74,70,66,62,101,114,128,169,153,54,50
31072,1,1,96,82,78,74,71,66,132,173,419,142,129,54,41
35352,2,0,101,103,94,117,68,59,97,136,133,116,80,74,69
22438,1,3,104,77,73,69,66,62,108,105,185,197,165,65,61
70239,1,0,108,120,130,118,150,70,63,142,148,67,61,52,125
86694,1,0,98,78,72,111,117,119,101,73,66,58,126,92,90
45218,1,0,99,106,121,98,75,66,60,126,73,67,99,96,123
46657,2,0,94,88,105,65,58,52,127,104,108,57,51,131,86
57197,0,1,103,88,84,79,75,71,68,63,104,147,232,178,126
36847,2,2,101,87,83,80,77,72,68,65,61,56,53,49,44
390,0,0,105,133,125,143,106,74,69,60,125,67,57,138,145
10186,2,1,108,97,92,87,83,79,75,72,99,152,260,174,109
22121,2,0,98,94,91,121,117,129,134,62,58,97,67,61,56
86344,2,1,95,85,116,184,550,151,99,73,59,72,67,77,46
97921,3,3,100,42,39,34,30,114,97,152,165,141,70,66,63
54967,0,3,94,52,49,45,43,39,120,96,137,177,139,55,51
34528,3,0,91,100,96,66,58,96,92,62,54,50,123,98,92
97225,3,0,103,130,135,112,63,54,123,132,106,115,68,60,53
67866,2,1,104,91,86,100,167,540,171,112,66,52,50,46,47
19031,2,3,93,63,59,56,125,119,144,183,156,47,43,40,36
24516,2,1,94,85,82,79,75,70,67,62,122,188,433,134,98
39595,3,0,90,110,87,106,112,102,99,58,49,121,61,52,43
72411,0,3,94,95,99,145,153,137,41,38,34,30,26,22,18
73504,1,0,110,76,66,55,113,150,120,117,138,129,142,74,64
65695,2,0,99,125,64,58,50,120,76,72,125,110,93,97,135
76263,0,2,96,82,79,76,72,68,64,60,56,53,49,45,40
33965,0,3,109,68,63,59,55,50,46,106,126,169,186,178,59
99730,1,3,105,100,99,147,154,147,43,38,34,29,26,22,18
88120,0,0,95,132,114,89,73,69,62,106,118,63,58,97,107
54290,2,0,101,112,100,120,109,112,78,73,120,72,66,57,109
4344,3,1,96,84,81,112,187,468,141,129,40,74,54,72,81
65158,3,0,100,98,131,76,67,59,134,110,76,67,115,94,123
31766,0,3,92,64,61,58,54,50,103,112,131,135,132,75,72
76643,2,3,92,71,68,64,61,57,54,50,100,96,166,171,139
14845,1,3,98,59,54,50,46,42,38,35,102,102,151,158,149
14316,0,1,105,93,120,198,270,155,125,95,44,51,56,70,50
98939,0,1,110,97,91,87,82,79,153,194,261,155,146,64,88
36104,1,2,95,84,80,75,72,69,64,61,57,53,49,45,42
48563,0,3,93,56,52,48,44,39,35,32,94,105,136,137,133
95937,1,0,106,76,69,98,100,107,129,141,112,84,75,70,98
3563,1,0,100,74,69,62,125,95,126,100,140,70,65,131,130
12421,1,2,99,89,85,80,75,72,68,64,61,56,52,49,46
49544,1,3,91,114,94,130,135,133,40,37,32,29,25,21,17
33186,3,3,98,44,41,37,34,31,117,137,137,164,160,46,42
82794,3,1,95,83,80,122,163,508,178,95,52,64,81,50,47
70655,1,3,100,88,91,96,166,171,140,61,56,52,48,43,40
47412,2,0,97,128,102,116,109,64,56,132,122,97,74,66,57
35058,2,3,95,67,62,58,55,51,101,128,136,144,136,46,43
69246,2,0,96,126,129,111,66,60,118,103,131,110,73,66,58
53589,3,0,101,123,128,69,62,57,103,97,99,62,53,133,103
16682,0,3,110,51,46,42,116,152,178,194,174,91,86,82,78
45717,1,3,96,41,38,95,111,139,141,137,84,80,77,73,69
77469,0,2,106,91,88,83,79,75,72,68,64,60,57,52,48
33359,3,3,90,47,43,40,36,32,29,25,111,114,132,143,126
65752,0,0,102,75,67,95,107,99,80,74,68,142,143,94,138
91554,2,1,98,88,84,81,77,73,132,152,478,172,121,51,73
20104,2,0,103,103,139,117,111,100,107,81,72,65,137,81,73
46090,3,0,93,105,115,90,130,98,71,64,108,123,58,50,45
41394,2,3,94,49,45,41,37,34,96,97,138,139,135,62,59
13675,3,1,104,89,84,100,184,456,162,138,77,82,91,58,93
98203,1,3,97,67,103,119,146,154,147,75,70,66,61,57,53
5264,1,0,103,99,109,71,63,55,117,118,127,110,94,81,71
61119,0,3,102,44,40,37,33,28,24,20,110,127,145,149,145
63504,2,3,93,71,92,115,157,182,151,75,71,66,63,60,56
26269,2,1,107,92,87,82,77,73,69,147,165,485,174,136,71
56761,3,2,103,91,87,83,78,75,71,68,64,60,56,51,48
32368,1,3,109,114,144,163,165,163,50,44,39,35,30,26,21
53105,1,3,92,56,52,119,127,130,140,130,55,52,49,45,41
27773,3,0,93,113,87,128,118,99,107,69,63,106,67,60,53
38051,1,3,93,82,121,114,147,151,148,38,34,31,27,23,20
88367,2,1,95,84,80,77,72,69,65,88,181,250,149,87,64
16305,0,1,106,95,91,87,82,78,147,190,369,189,138,91,81
31724,3,1,95,83,109,140,334,166,123,79,69,64,80,72,52
10075,0,0,96,116,90,113,89,93,92,75,66,104,64,55,46
77884,3,2,99,87,83,78,74,70,67,63,58,53,49,44,41
35744,1,3,110,99,95,127,101,168,182,164,63,59,55,51,46
28428,3,3,93,78,75,88,112,131,133,131,80,77,73,70,66
46432,3,2,97,85,82,78,74,70,65,62,57,53,48,45,41
30366,1,0,109,147,145,125,125,144,73,66,104,109,87,78,70
6901,3,1,99,88,84,80,76,105,142,375,189,132,48,61,65
30498,1,3,93,62,58,54,49,46,109,105,155,159,153,75,73
31196,2,3,105,70,66,131,117,161,181,155,67,62,58,54,49
46904,0,3,107,61,56,51,47,41,37,125,130,169,212,184,94
42350,0,1,96,83,78,74,71,68,63,99,174,479,182,114,71
53080,1,0,101,94,100,121,115,122,104,66,58,53,103,62,54
71108,3,3,94,85,81,77,72,68,64,61,117,105,133,134,132
88433,0,1,103,90,87,82,79,74,69,64,141,179,561,165,126
53793,0,1,104,91,98,171,461,205,140,59,65,43,44,88,66
28068,1,2,96,85,82,79,75,71,66,63,60,55,50,47,44
81073,2,3,93,59,55,51,47,44,40,36,95,88,147,178,147
80329,0,3,107,47,43,39,103,125,160,184,175,97,92,87,83
99152,1,2,105,93,89,85,81,76,72,69,65,61,57,52,49
30027,1,2,100,90,87,82,79,75,71,68,63,59,55,52,48
68755,0,1,95,83,80,77,73,69,65,61,99,141,512,147,118
90827,0,3,99,49,44,40,35,31,26,107,134,166,172,162,49
59195,2,1,104,94,89,86,82,103,180,323,156,139,78,50,91
63618,3,0,107,128,106,146,70,64,59,135,98,74,69,148,146
5685,2,1,110,97,94,90,147,186,412,175,125,76,61,57,63
96079,3,2,91,79,76,73,69,66,62,59,55,51,48,46,41
2549,0,1,105,91,111,168,479,199,128,62,53,55,56,75,77
1668,3,2,104,94,89,85,79,75,71,66,62,58,54,49,45
54173,2,0,92,99,66,62,55,87,94,107,94,102,60,53,103
75387,0,1,95,83,80,76,73,70,66,96,157,564,166,131,77
4156,3,0,109,152,144,118,118,143,116,78,73,67,131,75,71
94396,2,1,108,97,92,87,83,79,100,178,396,201,145,64,70
90169,2,1,99,86,82,77,114,178,405,180,105,77,57,49,57
26336,2,1,103,89,85,113,164,466,179,114,42,66,54,49,44
42614,3,0,102,109,108,65,58,121,96,117,75,68,59,119,108
94123,0,0,93,105,107,118,60,56,119,119,87,73,68,61,102
33977,0,1,94,84,80,77,73,69,66,63,131,148,321,167,98
93356,3,2,100,86,82,77,74,69,66,63,58,53,48,45,41
94786,2,1,100,89,85,107,157,251,182,137,82,66,70,44,63
36554,2,1,109,98,94,91,86,82,78,99,196,592,205,122,60
68117,2,2,92,81,78,74,71,68,64,60,56,52,49,46,43
45567,3,1,107,93,89,102,157,262,180,103,60,52,49,87,69
33306,2,1,94,84,81,113,143,539,153,122,74,80,53,85,81
8282,0,0,110,76,67,115,136,154,105,101,76,71,63,111,146
13755,1,3,110,67,62,58,55,50,45,114,107,194,204,184,47
90667,1,1,92,81,78,75,101,131,414,161,128,67,69,73,73
50388,2,3,103,74,70,67,62,59,55,50,103,144,154,169,155
66757,3,3,105,146,145,156,166,161,43,40,36,32,28,24,19
31751,2,3,104,108,94,145,190,147,77,72,69,64,60,56,51
49430,3,1,92,81,77,73,70,66,63,84,162,290,143,109,55
67334,3,1,97,86,82,78,74,70,90,191,265,157,109,51,53
24431,2,0,106,76,70,130,77,71,62,134,137,145,147,140,148
76512,0,3,96,103,103,135,136,135,75,71,68,63,60,57,53
14273,0,3,98,41,37,33,30,26,22,136,124,151,182,171,52
1866,1,0,103,134,121,106,130,105,106,79,71,65,96,65,58
60610,3,0,101,105,120,104,76,70,103,129,132,139,73,67,59
85310,0,3,93,49,46,86,113,174,176,133,81,76,72,69,66
11552,1,0,92,98,87,98,86,87,65,59,54,111,118,62,57
20743,0,3,97,42,38,34,31,93,105,165,188,146,81,76,73
15360,3,2,106,93,88,84,80,76,72,69,65,60,55,51,46
70201,1,2,110,94,89,84,81,75,70,65,61,56,52,47,42
64108,0,3,108,76,100,145,157,174,159,92,87,83,78,74,71
58769,1,2,100,89,84,81,78,74,70,66,63,59,56,51,47
26508,0,3,108,48,44,39,35,30,26,22,143,146,152,213,158
29112,1,3,92,58,54,51,46,43,40,36,126,124,129,132,129
1147,2,1,96,83,79,76,72,131,169,574,190,116,80,79,43
59245,1,1,90,77,85,161,425,150,105,68,52,61,61,68,66
76126,2,1,93,82,77,74,70,88,167,257,137,115,56,42,53
65839,3,3,102,60,104,123,154,165,152,53,50,46,41,38,34
24017,2,1,96,85,82,77,74,70,66,100,146,274,158,91,75
61665,1,1,97,85,82,78,74,71,67,63,110,163,500,180,101
54193,2,1,95,85,82,77,74,70,67,114,134,433,155,99,72
58261,1,3,100,71,67,63,58,55,50,46,109,130,169,172,163
27488,2,0,107,119,143,98,139,65,59,116,66,60,51,120,134
46506,0,0,103,138,144,132,137,73,67,62,132,141,81,77,111
47759,1,0,96,63,55,50,115,104,96,64,56,132,126,118,102
87877,3,0,106,146,109,139,99,130,98,83,78,113,84,77,69
72981,2,0,90,84,71,64,106,124,111,104,87,60,54,47,96
37333,3,0,104,112,71,66,58,116,64,57,115,127,96,142,95
51158,0,1,106,94,90,86,81,77,73,69,103,192,516,180,134
37371,2,0,102,100,78,72,67,127,63,54,137,111,133,112,97
4982,3,2,104,90,87,83,78,74,70,67,62,59,55,51,47
87043,0,3,109,116,123,158,197,170,69,64,58,55,51,47,43
16470,2,3,99,40,37,32,28,24,135,93,173,178,155,51,47
56796,0,1,108,95,91,87,82,127,185,618,152,125,66,78,84
11889,2,0,102,114,81,74,125,103,121,138,124,126,82,75,70
4875,0,1,103,92,87,83,79,75,72,136,160,412,194,122,62
73374,1,0,96,98,100,108,121,96,127,63,59,53,124,69,65
82756,3,0,99,75,66,96,103,100,124,91,93,67,58,53,107
42069,2,1,93,84,120,134,457,132,94,74,77,75,80,67,75
99173,3,2,94,83,79,75,71,67,63,60,56,53,49,44,41
91018,2,0,107,142,122,65,55,48,138,138,146,115,136,72,61
51356,3,2,108,93,88,84,79,75,70,67,63,58,53,49,44
12552,0,2,100,89,85,81,78,74,71,66,63,60,56,53,50
74661,2,0,103,99,117,99,74,70,129,125,80,72,67,140,103
74491,0,3,96,79,74,70,115,92,139,153,136,75,70,66,63
37964,1,2,101,89,84,81,78,74,69,66,63,59,55,50,46
96181,3,1,95,82,78,75,71,67,95,137,339,167,99,68,67
5437,1,0,91,66,62,53,120,118,88,62,57,97,101,102,122
8411,3,3,100,59,56,128,109,154,190,149,57,53,49,45,41
68337,3,1,97,87,83,80,121,182,312,146,88,83,78,73,40
15998,1,3,94,106,92,141,144,140,42,39,34,30,27,23,19
51512,2,0,91,125,63,59,103,111,64,58,53,103,85,90,94
70009,2,0,109,131,142,136,125,153,66,62,105,69,59,50,132
1050,2,1,104,89,107,197,410,181,109,85,66,66,76,65,76
55545,1,2,99,90,85,81,77,74,69,66,61,58,55,51,47
8535,1,0,106,73,65,128,112,117,119,135,72,64,59,122,104
10693,0,1,92,81,77,73,69,66,63,59,118,153,552,136,116
94661,0,3,92,68,117,106,162,171,161,65,62,59,54,50,45
857,2,3,93,49,45,125,110,130,134,131,57,53,49,45,41
99659,0,1,95,84,81,76,72,68,64,88,156,348,150,95,77
83845,3,2,99,87,82,77,74,69,66,63,59,56,53,49,44
21860,0,1,90,78,75,71,68,119,161,276,166,89,63,45,65
5164,0,0,99,139,126,116,74,66,61,129,101,137,115,73,66
30495,0,0,104,145,81,72,62,99,111,143,83,77,103,124,98
41783,0,0,99,127,97,126,135,75,69,94,133,60,52,47,97
30382,2,1,108,97,92,88,84,80,75,138,209,470,197,98,70
68373,0,3,105,61,114,104,175,201,168,93,90,86,82,78,73
27414,2,1,102,89,85,100,162,429,156,100,48,61,85,58,57
60690,3,1,108,93,88,84,80,76,145,216,254,197,143,56,98
20924,1,2,99,86,81,78,74,70,67,62,57,53,50,46,42
65955,0,3,108,111,143,151,156,155,96,92,88,83,80,75,71
23430,0,3,107,59,55,50,45,100,117,159,195,151,90,86,83
16090,1,3,96,52,49,44,40,35,134,92,134,139,135,77,73
17314,3,0,100,65,55,47,93,109,68,63,114,102,111,106,97
49218,0,1,103,93,89,84,80,76,138,175,601,198,136,61,44
87260,0,0,107,74,66,101,84,77,71,135,136,124,125,100,103
21280,2,1,95,84,80,76,72,108,174,494,181,97,60,85,39
20576,3,0,97,125,133,68,59,123,97,61,53,46,101,100,135
19876,0,0,103,132,129,94,65,57,128,141,141,76,68,64,144
66636,0,3,104,82,123,142,184,196,187,47,44,40,36,31,28
58711,0,3,105,46,42,38,35,30,26,21,104,127,161,198,149
43403,2,2,103,92,88,84,80,75,71,66,62,57,53,48,45
24581,2,3,102,65,61,57,54,50,46,41,100,104,179,192,177
65659,3,1,110,95,89,84,81,76,72,127,193,585,194,116,63
23819,3,2,105,93,90,86,83,78,73,69,65,62,58,53,48
81939,0,3,90,75,72,68,87,87,147,152,142,61,58,54,50
41458,2,0,94,119,59,55,50,86,106,108,107,63,58,130,131
16870,1,0,90,87,55,50,45,85,59,50,114,101,117,107,100
5451,1,3,98,51,48,45,40,36,32,27,106,115,141,159,137
3576,1,0,107,105,65,58,52,129,117,68,58,115,105,149,119
91451,1,0,110,73,67,148,143,117,133,131,82,73,63,131,141
68719,3,0,101,102,100,124,107,140,126,69,59,50,101,71,63
19339,0,2,106,95,90,86,83,79,75,72,67,63,59,55,50
92992,1,0,101,137,94,120,129,69,63,56,106,61,53,94,133
73387,0,2,107,95,91,87,83,78,73,70,65,60,56,51,48
30464,0,0,90,93,95,119,114,66,62,120,120,122,61,52,46
8057,0,3,99,95,98,142,147,140,50,46,42,37,33,28,24
31136,0,3,107,57,53,48,45,148,127,154,202,172,76,71,66
22143,3,0,101,121,93,131,141,123,64,55,48,103,70,62,106
57593,0,1,105,91,88,83,135,181,454,156,140,92,94,77,91
40395,3,3,101,99,104,156,162,150,87,83,79,75,71,67,64
51232,0,3,94,76,73,97,126,148,154,131,43,39,35,32,29
35240,0,3,106,67,63,122,99,162,178,165,46,41,37,33,29
54938,1,0,97,95,128,120,122,101,71,63,123,64,60,53,114
45441,0,0,101,131,67,59,103,121,104,98,126,120,64,56,50
38729,1,1,92,79,75,72,68,119,167,241,136,107,57,57,46
570,3,3,97,67,127,113,140,147,141,85,81,76,72,68,64
79982,1,0,90,93,98,70,62,111,114,125,59,53,47,88,121
88234,2,1,105,91,88,83,128,206,476,204,118,84,76,72,53
24319,3,2,104,91,86,82,78,74,69,66,62,58,53,49,45
92747,2,1,92,79,74,70,67,63,59,56,95,140,364,137,125
18224,1,3,103,132,139,144,170,166,42,38,35,31,26,21,16
96720,0,3,101,53,50,45,41,38,122,103,146,167,153,74,71
13670,0,1,107,93,90,86,80,109,190,224,203,108,53,84,55
73004,1,2,99,89,85,81,78,75,71,66,62,59,56,53,48
88623,3,0,110,147,130,137,118,78,68,62,102,150,84,76,107
13103,3,0,93,89,59,56,88,126,111,68,62,56,103,107,112
14910,3,3,98,57,53,49,44,103,127,151,152,144,53,49,45
52781,3,3,93,42,38,35,112,110,144,150,142,39,35,32,28
61423,0,3,106,120,138,148,152,149,77,73,68,65,59,55,52
61713,1,3,96,55,51,48,43,40,36,98,89,190,191,148,85
82923,1,0,101,137,117,108,101,114,66,56,48,94,75,68,99
65719,2,3,94,91,113,138,146,145,70,67,64,61,56,52,49
49328,0,1,110,99,142,167,310,185,134,94,66,70,54,91,71
39589,2,1,107,96,93,90,86,82,78,73,98,176,531,167,121
2943,0,3,92,79,101,89,138,172,156,41,36,33,30,27,23
94643,2,1,110,96,91,87,84,142,162,563,197,148,95,86,57
87203,1,2,107,92,88,84,79,76,73,68,63,59,54,50,45
17692,0,1,101,87,83,79,120,144,468,163,129,56,65,48,74
47935,3,0,106,145,111,80,75,68,140,124,120,98,133,78,69
14763,3,0,101,125,136,75,71,107,67,62,57,97,107,94,104
64954,3,0,94,114,112,94,73,63,111,128,73,64,57,89,108
75015,0,3,110,89,124,148,186,195,158,98,93,88,85,80,76
89744,2,3,101,72,67,64,60,102,126,145,146,144,54,51,47
30134,2,1,92,80,76,72,67,99,149,364,179,84,68,60,78
17568,3,3,98,85,81,77,121,115,137,142,140,49,45,42,37
55662,0,1,98,87,84,81,77,137,145,475,164,122,84,85,47
49566,0,1,101,87,84,125,173,554,167,101,56,62,52,74,52
1643,0,0,93,113,123,121,85,104,58,52,103,69,64,56,85
86530,3,0,106,133,96,140,119,134,119,75,70,110,83,79,74
39630,2,1,90,77,75,71,105,128,451,155,110,43,74,43,63
47554,1,0,106,144,121,138,70,65,59,112,80,74,122,101,147
75170,2,0,101,92,119,105,124,108,66,59,99,64,59,51,113
24503,3,0,94,102,62,54,99,123,106,103,109,92,64,60,55
81775,1,3,101,58,55,50,45,96,136,149,184,142,85,82,78
8434,0,1,95,84,81,77,73,127,160,448,140,106,67,86,49
98735,1,2,106,92,87,83,78,73,69,64,59,55,51,47,43
98139,0,1,104,92,89,84,80,133,152,310,176,136,47,59,61
48132,1,0,100,107,109,75,67,61,101,107,94,139,68,64,106
87179,0,1,94,81,78,74,69,65,60,56,124,150,534,152,125
57239,2,1,96,85,81,78,74,71,66,63,107,168,421,155,113
45601,2,3,108,82,77,72,67,110,121,170,172,169,94,91,86
84589,1,0,100,72,65,100,131,127,80,74,65,136,104,119,122
28508,2,1,91,82,79,75,72,68,63,59,99,169,490,147,89
50210,1,3,97,68,64,61,58,54,49,95,112,145,192,182,47
61906,1,0,92,72,68,95,60,51,43,100,98,102,115,93,123
95511,0,2,104,89,86,83,79,76,72,67,63,59,56,52,47
13471,3,2,92,80,77,73,68,66,62,58,54,51,48,43,39
37341,3,0,107,133,102,141,128,147,80,73,63,129,79,72,100
83981,2,1,107,96,125,190,341,193,133,78,96,45,74,45,71
52308,1,3,107,92,88,83,127,130,151,191,180,52,47,44,40
99761,3,0,103,119,65,57,110,119,75,67,58,129,121,134,110
74306,2,1,101,86,83,79,74,118,195,594,166,132,77,50,70
77615,2,3,105,51,47,43,39,35,120,126,159,163,160,43,39
75952,0,1,100,89,86,82,77,73,107,184,388,148,108,49,71
56348,1,0,104,98,81,72,64,105,138,136,131,69,64,135,125
30688,3,1,92,82,78,73,71,67,63,109,140,525,150,97,69
69374,1,2,102,89,86,82,78,75,71,67,62,59,54,51,46
23520,1,3,95,79,76,72,68,98,115,133,134,133,77,74,71
59281,1,0,106,145,144,70,63,101,118,69,62,56,146,128,123
